times,suhu_sealing_vertikal_bawah,suhu_sealing_vertikal_atas,suhu_sealing_horizontal_depan,suhu_sealing_horizontal_belakang,output_time_sec
2025-01-15 17:30:57,174.5,174.6,209.3,209.3,6612.0
2025-01-15 17:33:58,174.5,174.6,209.3,209.3,6791.0
2025-01-15 17:37:00,174.5,174.6,209.3,209.3,6980.0
2025-01-15 17:40:00,174.5,174.6,209.3,209.3,7157.0
2025-01-15 17:42:27,174.5,174.6,209.3,209.3,7303.0
2025-01-15 17:45:26,174.5,174.6,209.3,209.3,7479.0
2025-01-15 17:48:28,174.5,174.6,209.3,209.3,7662.0
2025-01-15 17:51:31,174.5,174.6,209.3,209.3,7842.0
2025-01-15 17:54:41,174.5,174.6,209.3,209.3,8033.0
2025-01-15 17:58:13,174.5,174.6,209.3,209.3,8144.0
2025-01-15 18:01:46,174.5,174.6,209.3,209.3,8315.0
2025-01-15 18:05:32,174.5,174.6,209.3,209.3,8538.0
2025-01-15 18:08:27,174.5,174.6,209.3,209.3,8705.0
2025-01-15 18:11:20,174.5,174.6,209.3,209.3,8851.0
2025-01-15 18:14:30,174.5,174.6,209.3,209.3,9039.0
2025-01-15 18:17:26,174.5,174.6,209.3,209.3,9182.0
2025-01-15 18:20:29,174.5,174.6,209.3,209.3,9365.0
2025-01-15 18:22:51,174.5,174.6,209.3,209.3,9504.0
2025-01-15 18:26:59,174.5,174.6,209.3,209.3,9744.0
2025-01-15 18:29:56,174.5,174.6,209.3,209.3,9921.0
2025-01-15 18:32:53,174.5,174.6,209.3,209.3,10026.0
2025-01-15 18:36:25,174.5,174.6,209.3,209.3,10234.0
2025-01-15 18:39:41,174.5,174.6,209.3,209.3,10432.0
2025-01-15 18:42:33,174.5,174.6,209.3,209.3,10600.0
2025-01-15 18:45:21,174.5,174.6,209.3,209.3,10770.0
2025-01-15 18:48:22,174.5,174.6,209.3,209.3,10949.0
2025-01-15 18:51:08,174.5,174.6,209.3,209.3,11116.0
2025-01-15 18:54:08,174.5,174.6,209.3,209.3,11296.0
2025-01-15 18:57:06,174.5,174.6,209.3,209.3,11476.0
2025-01-15 19:00:08,174.5,174.6,209.3,209.3,11653.0
2025-01-15 19:03:08,174.5,174.6,209.3,209.3,11827.0
2025-01-15 19:06:05,174.5,174.6,209.3,209.3,12006.0
2025-01-15 19:08:59,174.5,174.6,209.3,209.3,12180.0
2025-01-15 19:12:17,174.5,174.6,209.3,209.3,12350.0
2025-01-15 19:15:15,174.5,174.6,209.3,209.3,12529.0
2025-01-15 19:18:11,174.5,174.6,209.3,209.3,12707.0
2025-01-15 19:21:04,174.5,174.6,209.3,209.3,12878.0
2025-01-15 19:24:11,174.5,174.6,209.3,209.3,13025.0
2025-01-15 19:27:26,174.5,174.6,209.3,209.3,13133.0
2025-01-15 19:30:23,174.5,174.6,209.3,209.3,13263.0
2025-01-15 19:33:26,174.5,174.6,209.3,209.3,13437.0
2025-01-15 19:35:53,174.5,174.6,209.3,209.3,13557.0
2025-01-15 19:38:48,174.5,174.6,209.3,209.3,13733.0
2025-01-15 19:41:47,174.5,174.6,209.3,209.3,13909.0
2025-01-15 19:44:47,174.5,174.6,209.3,209.3,14089.0
2025-01-15 19:47:37,174.5,174.6,209.3,209.3,14257.0
2025-01-15 19:50:46,174.5,174.6,209.3,209.3,14439.0
2025-01-15 19:53:48,174.5,174.6,209.3,209.3,14626.0
2025-01-15 19:56:39,174.5,174.6,209.3,209.3,14791.0
2025-01-15 19:59:23,174.5,174.6,209.3,209.3,14962.0
2025-01-15 20:02:25,174.5,174.6,209.3,209.3,15136.0
2025-01-15 20:04:48,174.5,174.6,209.3,209.3,15281.0
2025-01-15 20:07:30,174.5,174.6,209.3,209.3,15443.0
2025-01-15 20:10:47,174.5,174.6,209.3,209.3,15629.0
2025-01-15 20:13:53,174.5,174.6,209.3,209.3,15691.0
2025-01-15 20:16:48,174.5,174.6,209.3,209.3,15864.0
2025-01-15 20:19:53,174.5,174.6,209.3,209.3,16018.0
2025-01-15 20:22:50,174.5,174.6,209.3,209.3,16178.0
2025-01-15 20:25:44,174.5,174.6,209.3,209.3,16227.0
2025-01-15 20:28:40,174.5,174.6,209.3,209.3,16367.0
2025-01-15 20:31:43,174.5,174.6,209.3,209.3,16551.0
2025-01-15 20:34:53,174.5,174.6,209.3,209.3,16743.0
2025-01-15 20:37:59,174.5,174.6,209.3,209.3,16859.0
2025-01-15 20:40:59,174.5,174.6,209.3,209.3,17033.0
2025-01-15 20:43:15,174.5,174.6,209.3,209.3,17174.0
2025-01-15 20:46:24,174.5,174.6,209.3,209.3,17264.0
2025-01-15 20:48:59,174.5,174.6,209.3,209.3,17380.0
2025-01-15 20:51:56,174.5,174.6,209.3,209.3,17544.0
2025-01-15 20:54:53,174.5,174.6,209.3,209.3,17718.0
2025-01-15 20:57:50,174.5,174.6,209.3,209.3,17765.0
2025-01-15 21:00:50,174.5,174.6,209.3,209.3,17935.0
2025-01-15 21:04:52,174.5,174.6,209.3,209.3,18143.0
2025-01-15 21:08:00,174.5,174.6,209.3,209.3,18327.0
2025-01-15 21:11:05,174.5,174.6,209.3,209.3,18515.0
2025-01-15 21:14:07,174.5,174.6,209.3,209.3,18700.0
2025-01-15 21:17:45,174.5,174.6,209.3,209.3,18896.0
2025-01-15 21:20:46,174.5,174.6,209.3,209.3,19050.0
2025-01-15 21:23:48,174.5,174.6,209.3,209.3,19205.0
2025-01-15 21:26:47,174.5,174.6,209.3,209.3,19276.0
2025-01-15 21:29:44,174.5,174.6,209.3,209.3,19360.0
2025-01-15 21:32:48,174.5,174.6,209.3,209.3,19542.0
2025-01-15 21:35:44,174.5,174.6,209.3,209.3,19717.0
2025-01-15 21:38:49,174.5,174.6,209.3,209.3,19905.0
2025-01-15 21:42:01,174.5,174.6,209.3,209.3,20082.0
2025-01-15 21:45:05,174.5,174.6,209.3,209.3,20208.0
2025-01-15 21:48:08,174.5,174.6,209.3,209.3,20392.0
2025-01-15 21:51:02,174.5,174.6,209.3,209.3,20561.0
2025-01-15 21:53:59,174.5,174.6,209.3,209.3,20737.0
2025-01-15 21:57:07,174.5,174.6,209.3,209.3,20886.0
2025-01-15 22:00:00,174.5,174.6,209.3,209.3,20926.0
2025-01-15 22:02:54,174.5,174.6,209.3,209.3,21098.0
2025-01-15 22:06:07,174.5,174.6,209.3,209.3,21290.0
2025-01-15 22:09:14,174.5,174.6,209.3,209.3,21477.0
2025-01-15 22:12:07,174.5,174.6,209.3,209.3,21646.0
2025-01-15 22:15:08,174.5,174.6,209.3,209.3,21828.0
2025-01-15 22:18:03,174.5,174.6,209.3,209.3,21999.0
2025-01-15 22:21:01,174.5,174.6,209.3,209.3,22176.0
2025-01-15 22:23:53,174.5,174.6,209.3,209.3,22346.0
2025-01-15 22:27:08,174.5,174.6,209.3,209.3,22525.0
2025-01-15 22:30:07,174.5,174.6,209.3,209.3,22647.0
2025-01-15 22:33:04,174.5,174.6,209.3,209.3,25.0
2025-01-15 22:36:07,174.5,174.6,209.3,209.3,138.0
2025-01-15 22:39:04,174.5,174.6,209.3,209.3,278.0
2025-01-15 22:42:04,174.5,174.6,209.3,209.3,452.0
2025-01-15 22:44:58,174.5,174.6,209.3,209.3,629.0
2025-01-15 22:48:11,174.5,174.6,209.3,209.3,820.0
2025-01-15 22:50:25,174.5,174.6,209.3,209.3,866.0
2025-01-15 22:53:18,174.5,174.6,209.3,209.3,988.0
2025-01-15 22:56:13,174.5,174.6,209.3,209.3,1155.0
2025-01-15 22:59:16,174.5,174.6,209.3,209.3,1330.0
2025-01-15 23:02:10,174.5,174.6,209.3,209.3,1491.0
2025-01-15 23:05:07,174.5,174.6,209.3,209.3,1671.0
2025-01-15 23:08:07,174.5,174.6,209.3,209.3,1847.0
2025-01-15 23:11:28,174.5,174.6,209.3,209.3,2049.0
2025-01-15 23:14:22,174.5,174.6,209.3,209.3,2224.0
2025-01-15 23:17:22,174.5,174.6,209.3,209.3,2405.0
2025-01-15 23:20:19,174.5,174.6,209.3,209.3,2584.0
2025-01-15 23:23:25,174.5,174.6,209.3,209.3,2769.0
2025-01-15 23:26:28,174.5,174.6,209.3,209.3,2944.0
2025-01-15 23:29:27,174.5,174.6,209.3,209.3,3129.0
2025-01-15 23:32:25,174.5,174.6,209.3,209.3,3306.0
2025-01-15 23:35:27,174.5,174.6,209.3,209.3,3478.0
2025-01-15 23:38:25,174.5,174.6,209.3,209.3,3658.0
2025-01-15 23:41:25,174.5,174.6,209.3,209.3,3837.0
2025-01-15 23:44:22,174.5,174.6,209.3,209.3,4018.0
2025-01-15 23:47:29,174.5,174.6,209.3,209.3,4172.0
2025-01-15 23:50:28,174.5,174.6,209.3,209.3,4347.0
2025-01-15 23:53:31,174.5,174.6,209.3,209.3,4533.0
2025-01-15 23:56:28,174.5,174.6,209.3,209.3,4710.0
2025-01-15 23:59:26,174.5,174.6,209.3,209.3,4883.0
2025-01-16 00:02:18,174.5,174.6,209.3,209.3,5048.0
2025-01-16 00:05:07,174.5,174.6,209.3,209.3,5221.0
2025-01-16 00:08:22,174.5,174.6,209.3,209.3,5411.0
2025-01-16 00:11:22,174.5,174.6,209.3,209.3,5592.0
2025-01-16 00:14:25,174.5,174.6,209.3,209.3,5774.0
2025-01-16 00:17:40,174.5,174.6,209.3,209.3,5964.0
2025-01-16 00:20:34,174.5,174.6,209.3,209.3,6140.0
2025-01-16 00:23:47,174.5,174.6,209.3,209.3,6329.0
2025-01-16 00:26:47,174.5,174.6,209.3,209.3,6505.0
2025-01-16 00:30:07,174.5,174.6,209.3,209.3,6696.0
2025-01-16 00:33:22,174.5,174.6,209.3,209.3,6882.0
2025-01-16 00:36:23,174.5,174.6,209.3,209.3,6987.0
